drop_id,pisco_code,MaxN,spp_drop_biomass_mean_kg,spp_drop_biomass_total_kg,pisco_code_metric
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,44,0.13636363636363635,6,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
ANA_207,SPUL,2,0.13636363636363635,0.2727272727272727,bm_SPUL
